Cluster,Μέσο Γεωγραφικό Πλάτος,Πλήθος Εγκλημάτων,Μέσο Γεωγραφικό Μήκος
0,34.20993612583347,5849,-118.47478254402462
1,0.0,49,0.0
2,34.061295549738226,9168,-118.30210534467713
3,33.77034136253042,822,-118.28544197080292
4,33.97248482490272,4112,-118.31406232976654
